,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
1798,Colfax County,New Mexico,12353,1.26917293644793,3155,25.5,23.8
1799,Curry County,New Mexico,50199,13.7905624746818,6018,12.0,20.6
1800,De Baca County,New Mexico,2060,0.342373575520751,431,20.9,16.8
1801,Doña Ana County,New Mexico,215338,21.8326251158127,32046,14.9,27.7
1802,Eddy County,New Mexico,57437,5.30993233632184,8129,14.2,15.3
1803,Grant County,New Mexico,28061,2.7351427146915,7197,25.6,21.8
1804,Guadalupe County,New Mexico,4382,0.558424840099128,990,22.6,14.5
1805,Harding County,New Mexico,459,0.0833793050914616,176,38.3,18.3
1806,Hidalgo County,New Mexico,4371,0.490812579485854,919,21.0,28.1
1807,Lea County,New Mexico,70126,6.16554632882984,7684,11.0,16.6
1808,Lincoln County,New Mexico,19482,1.55699925634728,5399,27.7,16.2
1809,Los Alamos County,New Mexico,18356,64.9018605269554,3173,17.3,5.3
1810,Luna County,New Mexico,24264,3.15939771804422,4994,20.6,30.2
